Date,Name,Tweets,USD_EUR
2018-05-29,Emmanuel Macron,"En juillet 2017, nous avions accueilli une première rencontre importante sur la Libye. Un travail très important a… https://t.co/JA9oBzS6iY",1.1558
2018-05-28,Emmanuel Macron,Il est parfaitement inacceptable que des affiches de @LePoint soient retirées des kiosques de presse au motif qu’el… https://t.co/VHkvFM5gje,1.1644
2018-05-28,Emmanuel Macron,"RT @Elysee: Parce que des actes d’héroïsme comme ça, on en a besoin tous les jours ! M. GASSAMA peut, s’il le souhaite, rejoindre les héros…",1.1644
2018-05-28,Emmanuel Macron,"Je l’ai également invité à déposer une demande de naturalisation. Car la France est une volonté, et M. GASSAMA a dé… https://t.co/nzuhHcWq1P",1.1644
2018-05-28,Emmanuel Macron,Avec M. GASSAMA qui a sauvé samedi la vie d’un enfant en escaladant 4 étages à mains nues. Je lui ai annoncé qu’en… https://t.co/S79mikgS3d,1.1644
2018-05-25,Emmanuel Macron,"Au Forum économique de Saint-Pétersbourg, nous n’oublions rien des enjeux géopolitiques. Tout est lié. #ПМЭФ2018… https://t.co/7RWD3M7tLf",1.1675
2018-05-25,Emmanuel Macron,"Suite à mon dialogue avec Vladimir Poutine, il y a eu des avancées importantes sur l’Iran et la Syrie. https://t.co/jQ8WN6NpSI",1.1675
2018-05-25,Emmanuel Macron,"LIVE | Conférence de presse à Saint-Pétersbourg.
https://t.co/bbx0gGvGTJ",1.1675
2018-05-25,Emmanuel Macron,"Здесь похоронены женщины, мужчины и дети, погибшие в Ленинграде, чтобы жизнь в Санкт-Петербурге продолжалась. Во вр… https://t.co/UODJfCMGKA",1.1675
2018-05-25,Emmanuel Macron,"Следует покончить с тем, что Солженицын называл «упадком мужества». Мужество вернулось во Францию, мужество вернуло… https://t.co/RLVTak5eqF",1.1675
2018-05-25,Emmanuel Macron,"Именно доверие объединило Безухова и Каратаева, героев ""Войны и Мира"". Сейчас доверие расшатано, мы должны восстано… https://t.co/LUR0kHi2b3",1.1675
2018-05-25,Emmanuel Macron,"Исторически Россия и Западная Европа тесно связаны и взаимно обогащают друг друга. Эрмитаж хранит это наследие, явл… https://t.co/kFsAK4V1te",1.1675
2018-05-25,Emmanuel Macron,"La confiance, c’est ce qu’expriment Bezoukov et Karataïev dans « Guerre et Paix ». On vit un moment où la confiance… https://t.co/2BDbM8spaQ",1.1675
2018-05-25,Emmanuel Macron,"Il faut en finir avec ce que Soljenitsyne appelait le « déclin du courage ».
Le courage est de retour en France, le… https://t.co/GDi7uGIRgu",1.1675
2018-05-25,Emmanuel Macron,"LIVE | La confiance au cœur de la relation économique entre la France et la Russie. #SPIEF
https://t.co/UDcxzREhhw",1.1675
2018-05-25,Emmanuel Macron,Puisse le souvenir des sacrifiés de Leningrad renforcer notre détermination commune à tout entreprendre pour que no… https://t.co/lXEMj4V7ZE,1.1675
2018-05-25,Emmanuel Macron,"Ici reposent les femmes, hommes et enfants morts à Léningrad pour que Saint-Pétersbourg vive. Durant la Seconde Gue… https://t.co/xsHkWtGZ1d",1.1675
2018-05-25,Emmanuel Macron,Si la France n’était pas écoutée il y aurait la guerre au Liban.,1.1675
2018-05-25,Emmanuel Macron,La France propose et s’active ! https://t.co/dvJKbfge07,1.1675
