Date,Name,Tweets,Open_GOOG,High_GOOG,Low_GOOG,Close_GOOG,Volume_GOOG
2020-10-19,Sundar Pichai,@DavidMalpassWBG Thanks @DavidMalpassWBG @WorldBank for an engaging conversation on addressing the barriers to digi… https://t.co/3InWN9g9PL,1580.4599609375,1588.1500244140625,1528.0,1534.6099853515625,1607100
2020-10-15,Sundar Pichai,"22 years in, we’re still focused on providing the most helpful Google Search experience powered by #GoogleAI - whet… https://t.co/WmuMxZAFZ1",1547.1500244140625,1575.10498046875,1545.030029296875,1559.1300048828125,1540000
2020-10-14,Sundar Pichai,"We're introducing Journalist Studio, a suite of tools to help reporters do their work more efficiently, including u… https://t.co/ow9LlAbMmu",1578.5899658203125,1587.6839599609375,1550.530029296875,1568.0799560546875,1931000
2020-10-12,Sundar Pichai,"Such a nice moment, congrats to Paul Milgrom and Robert Wilson for their Nobel Prize! https://t.co/HeqffRWo5a",1543.0,1593.8599853515625,1532.5699462890625,1569.1500244140625,2482600
2020-10-06,Sundar Pichai,Congrats to the 76 founders who will be receiving awards from the $5M @GoogleStartups Black Founders Fund. Great to… https://t.co/UTIhv7rOMF,1475.5799560546875,1486.760009765625,1448.5899658203125,1453.43994140625,1245400
2020-10-05,Sundar Pichai,@adamlashinsky Congrats Adam!,1466.2099609375,1488.2099609375,1464.27001953125,1486.02001953125,1113300
2020-10-01,Sundar Pichai,Proud to announce our biggest commitment to the future of news yet: the launch of Google News Showcase - a new kind… https://t.co/boTGMqoJEX,1484.27001953125,1499.0400390625,1479.2099609375,1490.0899658203125,1779500
2020-09-30,Sundar Pichai,"RT @MKBHD: Pixel 5

6” Full HD OLED
4080mAh battery
128GB/8GB

Holepunch camera cutout

Fully recycled aluminum body
Wireless charging (how…",1466.800048828125,1489.75,1459.8800048828125,1469.5999755859375,1700600
2020-09-30,Sundar Pichai,"Today at our virtual #LaunchNightIn, we introduced our newest lineup of helpful devices from across Google, includi… https://t.co/xXTCDZRF5Q",1466.800048828125,1489.75,1459.8800048828125,1469.5999755859375,1700600
2020-09-30,Sundar Pichai,"Starting in mid-October, we’re making it free for retailers globally to list their products on the Shopping tab, he… https://t.co/h54GqOieu6",1466.800048828125,1489.75,1459.8800048828125,1469.5999755859375,1700600
2020-09-25,Sundar Pichai,"RT @uhoelzle: As has been noticed, several Google services were down for some users from 6:00 to 6:23 p.m. PDT. A pool of servers that rout…",1432.6300048828125,1450.0,1413.3399658203125,1444.9599609375,1323000
2020-09-24,Sundar Pichai,Thank you @NancyGibbs for a great conversation - honored to be included among this year’s #TIME100 https://t.co/xG03YA7mhx,1411.030029296875,1443.708984375,1409.8499755859375,1428.2900390625,1450200
2020-09-23,Sundar Pichai,"This week, we’re introducing the COVID layer in @GoogleMaps, a tool that shows critical information about COVID-19… https://t.co/PfOjW9ATd8",1458.780029296875,1460.9599609375,1407.699951171875,1415.2099609375,1657400
2020-09-23,Sundar Pichai,"Congrats to our 2020 #DoodleforGoogle winner, Texas 5th grader Sharon Sara! Her artwork inspired by this year’s con… https://t.co/4jliWuHtqS",1458.780029296875,1460.9599609375,1407.699951171875,1415.2099609375,1657400
2020-09-23,Sundar Pichai,RT @JeffDean: Great to see the CZU Complex fire  100% contained.  Thank you to all of the amazing firefighters and others who had a hand in…,1458.780029296875,1460.9599609375,1407.699951171875,1415.2099609375,1657400
2020-09-18,Sundar Pichai,"RT @Googleorg: To help communities across the US being impacted by wildfires, we've issued $1M in grants and were joined by Googlers donati…",1498.010009765625,1503.0030517578125,1437.1300048828125,1459.989990234375,3103900
2020-09-16,Sundar Pichai,"As we kick off #HispanicHeritageMonth this week, we’re proud to support Latino-owned small businesses with new… https://t.co/T1LgTIykdN",1555.5400390625,1562.0,1519.8199462890625,1520.9000244140625,1311700
2020-09-16,Sundar Pichai,"Today at @greentech_fest, we shared more about Google’s next decade of climate action, including @Googleorg's €10M… https://t.co/brmggWdKv3",1555.5400390625,1562.0,1519.8199462890625,1520.9000244140625,1311700
2020-09-15,Sundar Pichai,RT @peard33: Google aims to run on carbon-free energy by 2030 https://t.co/nGURKGdIiq,1536.0,1559.5699462890625,1531.8349609375,1541.43994140625,1331100
2020-09-14,Sundar Pichai,RT @harrymccracken: Some good stuff here that had escaped my attention. https://t.co/MySNhm6VCp,1539.0050048828125,1564.0,1515.739990234375,1519.280029296875,1696600
2020-09-14,Sundar Pichai,"As of today, Google is the 1st major company to eliminate our entire carbon legacy, including before we became carb… https://t.co/ZJHSsNdGb8",1539.0050048828125,1564.0,1515.739990234375,1519.280029296875,1696600
2020-09-10,Sundar Pichai,Nonprofits &amp; academic institutions around the world are using AI + data analytics to better understand COVID-19 and… https://t.co/MN8LRbUUMg,1560.6400146484375,1584.0810546875,1525.8050537109375,1532.02001953125,1618600
2020-09-10,Sundar Pichai,RT @caesars: So excited to finally get this fresh new UI out for @google  Finance. Team's worked really hard on this and we have a lot more…,1560.6400146484375,1584.0810546875,1525.8050537109375,1532.02001953125,1618600
2020-09-09,Sundar Pichai,RT @sarahintampa: Google’s new ‘Verified Calls’ feature will tell you why a business is calling you: https://t.co/XaiEdO3n93,1557.530029296875,1569.0,1536.051025390625,1556.9599609375,1774700
2020-09-09,Sundar Pichai,"RT @JulianChokkattu: Android 11 is here! 
https://t.co/h6YqguECXq via @WIRED",1557.530029296875,1569.0,1536.051025390625,1556.9599609375,1774700
2020-09-08,Sundar Pichai,"Excited that Android 11 starts rolling out today, with better ways to communicate, new ways to manage your devices… https://t.co/8TMPOPwXPu",1533.510009765625,1563.864990234375,1528.010009765625,1532.3900146484375,2610900
2020-09-03,Sundar Pichai,"Working together, the @DeepMind and @GoogleMaps teams are using AI to improve the accuracy of real time ETAs in Map… https://t.co/X4QShl1Gfk",1709.7139892578125,1709.7139892578125,1615.06005859375,1641.8399658203125,3107800
2020-09-01,Sundar Pichai,"As severe flooding continues to impact millions in South Asia, we’re expanding our AI-powered flood forecasting to… https://t.co/yWU1S4kyf0",1636.6300048828125,1665.72998046875,1632.219970703125,1660.7099609375,1826700
2020-08-27,Sundar Pichai,Proud to share @GoogleAI team’s recent advances in quantum chemistry: the largest quantum computation of chemistry… https://t.co/gNLaP9G3WH,1653.6800537109375,1655.0,1625.75,1634.3299560546875,1861600
2020-08-25,Sundar Pichai,Thrilled to have Halimah as our new general counsel - she's a longtime Googler with a wealth of experience working… https://t.co/ksJVz17QiU,1582.0699462890625,1611.6199951171875,1582.0699462890625,1608.219970703125,2247100
2020-08-20,Sundar Pichai,"To help those in areas impacted by wildfires, we've expanded our SOS alerts on Search &amp; Maps in the US to include s… https://t.co/qcrrf3pRkT",1543.449951171875,1585.8699951171875,1538.199951171875,1581.75,1706900
2020-08-03,Sundar Pichai,"RT @samrutherford: If you just want a good, simple phone for a great price, you can't really do better than the Pixel 4a. 

https://t.co/Wi…",1486.6400146484375,1490.469970703125,1465.6400146484375,1474.449951171875,2330200
2020-08-03,Sundar Pichai,"RT @DanaWollman: Just like that, Google has announced the long-rumored Pixel 4a. We have @CherlynnLow's  review live on the site. We don't…",1486.6400146484375,1490.469970703125,1465.6400146484375,1474.449951171875,2330200
2020-08-03,Sundar Pichai,"RT @JulianChokkattu: The Google Pixel 4A is finally here, and it was well worth the wait. It's an improvement in every way over last year's…",1486.6400146484375,1490.469970703125,1465.6400146484375,1474.449951171875,2330200
2020-08-03,Sundar Pichai,"RT @MKBHD: Some camera samples from Pixel 4a! It's easily my favorite phone at this $350 price, and the camera is a huge reason why https:/…",1486.6400146484375,1490.469970703125,1465.6400146484375,1474.449951171875,2330200
2020-08-03,Sundar Pichai,"Excited to share the new Pixel 4a - with the same great camera and security, new Assistant languages, and all the h… https://t.co/xZqL4XNLGW",1486.6400146484375,1490.469970703125,1465.6400146484375,1474.449951171875,2330200
2020-07-28,Sundar Pichai,Merci @srichard! Looking forward to @GoogleCloud's collaboration with @Orange to help deliver new services and appl… https://t.co/DlkgZjiOrn,1525.1800537109375,1526.47998046875,1497.6600341796875,1500.3399658203125,1702200
2020-07-17,Sundar Pichai,RT @addyosmani: We’ve improved &lt;img&gt; lazy-loading in Chrome! https://t.co/zx8sf7I86L The new thresholds for when we load &lt;img loading=lazy&gt;…,1521.6199951171875,1523.43994140625,1498.4200439453125,1515.550048828125,1456700
2020-07-16,Sundar Pichai,"Is it possible to detect earthquakes with submarine cables? We think it might be.
https://t.co/6oIZTxg1wk",1500.0,1518.68994140625,1486.31005859375,1518.0,1519300
2020-07-15,Sundar Pichai,Everyone should have access to the internet. Proud to partner with @reliancejio to increase access for the hundreds… https://t.co/A04OuMyIws,1523.1300048828125,1535.3299560546875,1498.0,1513.6400146484375,1610700
2020-07-14,Sundar Pichai,I want to thank @jmalvpal and @Telefonica for their partnership. Telefónica's network infrastructure combined with… https://t.co/Ta0fnasnbv,1490.31005859375,1522.949951171875,1483.5,1520.5799560546875,1585000
2020-07-14,Sundar Pichai,"RT @Google: To help slow the spread of COVID-19, we are reminding people of the steps they can take to protect themselves and each other. h…",1490.31005859375,1522.949951171875,1483.5,1520.5799560546875,1585000
2020-07-14,Sundar Pichai,"Now more than ever, work isn’t defined by a physical place--it can happen anywhere. At today’s #GoogleCloudNext ’20… https://t.co/kWlemttM4C",1490.31005859375,1522.949951171875,1483.5,1520.5799560546875,1585000
2020-07-13,Sundar Pichai,(reposting with correct hashtag),1550.0,1577.1319580078125,1505.2430419921875,1511.3399658203125,1846400
2020-07-13,Sundar Pichai,We’re announcing a new suite of Google Career Certificates that will help Americans get qualifications in high-payi… https://t.co/P1wqt46Kfl,1550.0,1577.1319580078125,1505.2430419921875,1511.3399658203125,1846400
2020-07-13,Sundar Pichai,Today at #GoogleForIndia we announced a new $10B digitization fund to help accelerate India’s digital economy. We’r… https://t.co/tiYUOP3D53,1550.0,1577.1319580078125,1505.2430419921875,1511.3399658203125,1846400
2020-07-13,Sundar Pichai,"@narendramodi Thank you for your time, PM @narendramodi - very optimistic about your vision for Digital India and e… https://t.co/K2xGWl3ciH",1550.0,1577.1319580078125,1505.2430419921875,1511.3399658203125,1846400
2020-07-10,Sundar Pichai,"Yep, glad cricket is back!🏏🏏🏏
https://t.co/7H5nuE0Wc4",1506.1500244140625,1543.8299560546875,1496.5400390625,1541.739990234375,1856300
2020-07-09,Sundar Pichai,"Happy 15th birthday to @GoogleEarth, still the world’s biggest publicly accessible repository of geographic imagery… https://t.co/p4Ak5EY6h0",1506.449951171875,1522.719970703125,1488.0849609375,1510.989990234375,1423300
2020-07-09,Sundar Pichai,Google is proud to be a partner in Italy's economic recovery. We're investing more than $900M over 5 years to help… https://t.co/87fyTJbtm6,1506.449951171875,1522.719970703125,1488.0849609375,1510.989990234375,1423300
2020-07-01,Sundar Pichai,"As countries start to re-open, we’re dedicated to helping people and businesses recover faster - starting with new… https://t.co/rAMsHRugKh",1411.0999755859375,1443.0,1409.8199462890625,1438.0400390625,1775200
