Date,Name,Tweets,Open_AAPL,High_AAPL,Low_AAPL,Close_AAPL,Volume_AAPL
2020-02-24,Tim Cook,"Katherine Johnson was a trailblazer, pushing us to greater heights above Earth with her work at NASA and inspiring… https://t.co/JUX9iMBxb9",73.98098369781013,75.70320372757139,71.98250697955599,74.20994567871094,222195200
2020-02-24,Tim Cook,"Thinking of Steve today on his birthday — his friendship, passion, and especially the laughter and joy he inspired. https://t.co/qPMHbzxCsQ",73.98098369781013,75.70320372757139,71.98250697955599,74.20994567871094,222195200
2020-02-21,Tim Cook,The impact of @JohnLegend’s voice extends far beyond his historic EGOT—thank you for today’s conversation about rac… https://t.co/SyQze1nZnP,79.29698690149827,79.75243490672932,77.27611201506491,77.9107437133789,129554000
2020-02-14,Tim Cook,"Today we celebrate love, in all of its beautiful combinations! #HappyValentinesDay! ❤️ https://t.co/2ZujWOvohf",80.8201059846795,81.12871783295762,80.34973361798954,80.87237548828125,80113600
2020-02-11,Tim Cook,This #BlackHistoryMonth we honor the generations of women and men who had the courage and determination to push for… https://t.co/iy428tMj4B,80.53638726596185,80.61104713188863,79.31937828563193,79.54336547851562,94323200
2020-02-10,Tim Cook,Some of the most amazing photos I’ve ever seen are the ones that only come out with #Nightmode. This is a beautiful… https://t.co/ERM2ioQjMi,78.1919741261337,80.02619171142578,78.10984826795662,80.02619171142578,109348800
2020-01-27,Tim Cook,"Today, we remember the millions of lives lost. Tomorrow and always, we vow to reject cruelty so that it never happe… https://t.co/C1trKrMo4h",76.9838927560623,77.40846154864457,75.69776747782747,76.70829772949219,161940000
2020-01-17,Tim Cook,There are countless ways to make a difference. Jaz’s story is a great example of all those here at Apple who live a… https://t.co/GDjiWa5aY5,78.5257591756761,79.13902862190288,78.21043728328169,79.13655090332031,137816400
2020-01-13,Tim Cook,“The Ultra Wide camera brings a whole new experience to #shotoniPhone. This provides for not only a different persp… https://t.co/6CymCN8DnM,77.37619331374594,78.72439041047453,77.25452748571149,78.69707489013672,121532000
2020-01-06,Tim Cook,Congratulations to all of tonight’s @GoldenGlobes winners and nominees. It’s an honor to be in the company of so ma… https://t.co/SRkdyxNY6t,72.94426970350632,74.47619687725036,72.68604899623834,74.43647003173828,118387200
2019-12-30,Tim Cook,"John Lewis has fought great evils with resolve, grace and abiding faith in truth’s final victory. Today is no diffe… https://t.co/adoenoL63v",71.86918255644994,72.67115262515901,70.81644766669868,72.38065338134766,144114400
2019-12-26,Tim Cook,Our hearts are with those impacted by the Australian bushfires and with the courageous volunteer force fighting the… https://t.co/yyIubP72JV,70.71713087456727,71.99829316971199,70.68733763607192,71.98091125488281,93121200
2019-12-23,Tim Cook,Happy #Hanukkah to all those celebrating the Festival of Lights among family and friends! 🕎 חנוכה שמח #shotoniPhone… https://t.co/qSuoNzfMM8,69.65197802846758,70.5756063192663,69.61225118425766,70.51353454589844,98572000
2019-12-20,Tim Cook,Stunning work showcasing the strength and significance of Turbans in India. Love how photographer Bikramjit Bose (I… https://t.co/RrkuUD1uF2,70.07407078510741,70.17834712365827,69.16285379645835,69.38134765625,275978000
2019-12-18,Tim Cook,Thank you to the extraordinary @JoshGroban for sharing your timeless talent with us today. Here’s to a season fille… https://t.co/lB5OgwNNSl,69.47073005542633,69.99213449966108,69.30189663984441,69.45583343505861,116028400
2019-12-18,Tim Cook,The holiday cheer @ToysForTots_USA brings to children is one more example of @USMC’s immeasurable service to our na… https://t.co/KntZVTwsLV,69.47073005542633,69.99213449966108,69.30189663984441,69.45583343505861,116028400
2019-12-17,Tim Cook,.@Malala is an unparalleled champion for access to education — a basic human right. Apple is proud to continue our… https://t.co/MycUaNKDOR,69.41363211080468,69.95985922974276,69.222446178623,69.6221923828125,114158400
2019-12-13,Tim Cook,Thanks to @YodWongnai and food bloggers Yota and Jira for showing me some of Bangkok’s best street food. Jay Fai’s… https://t.co/mxPuA81qwf,67.40001264086206,68.3534341757534,67.26842078368718,68.31619262695311,133587600
2019-12-13,Tim Cook,Amazing to see the next generation of developers having a blast with Swift Playgrounds today at Apple IconSiam! Tha… https://t.co/gLjNnqBZFt,67.40001264086206,68.3534341757534,67.26842078368718,68.31619262695311,133587600
2019-12-13,Tim Cook,It made my heart sing to spend time with Thailand’s WWDC scholarship winners Kiratijuta and Patcharapon. Amazing to… https://t.co/6LOQrgYmNl,67.40001264086206,68.3534341757534,67.26842078368718,68.31619262695311,133587600
2019-12-13,Tim Cook,Congratulations to the Thai women’s national volleyball team for winning gold at #SEAGames2019! Great to meet Coach… https://t.co/mA1KNX3O55,67.40001264086206,68.3534341757534,67.26842078368718,68.31619262695311,133587600
2019-12-13,Tim Cook,Beyond impressed with the students at Satit-Chula in Bangkok who are using Everyone Can Create to learn the science… https://t.co/04llDmGhDy,67.40001264086206,68.3534341757534,67.26842078368718,68.31619262695311,133587600
2019-12-13,Tim Cook,สวัสดี Thailand! My journey this morning along the Chao Phraya River culminated in a visit to the peaceful Wat Arun… https://t.co/wBfEfPPsm6,67.40001264086206,68.3534341757534,67.26842078368718,68.31619262695311,133587600
2019-12-12,Tim Cook,.@SingaporeAir has transformed the cockpit with iPad! Thanks to CEO Goh Choon Phong and Captain Raj for showing me… https://t.co/hwbonbJhur,66.48632203802919,67.67313412119621,66.37211208897965,67.40001678466797,137310400
2019-12-12,Tim Cook,"40 years, 3200 people and countless great ideas. From Engineering and Operations to Retail and AppleCare — our grow… https://t.co/RkoXVvT8AY",66.48632203802919,67.67313412119621,66.37211208897965,67.40001678466797,137310400
2019-12-12,Tim Cook,Just got a preview of @sezairi’s new track She Moves — you’re going to love it! Thanks to @jonchuajx for showing me… https://t.co/MxwUP1EwCi,66.48632203802919,67.67313412119621,66.37211208897965,67.40001678466797,137310400
2019-12-12,Tim Cook,"When you bring everything you are to everything you do, it’s amazing what’s possible. Paralympian @theresagoh_ is a… https://t.co/zKNOOnn0Le",66.48632203802919,67.67313412119621,66.37211208897965,67.40001678466797,137310400
2019-12-11,Tim Cook,Three of our amazing @AppleArcade launch titles were created right here in Singapore’s PIXEL space. Great to meet t… https://t.co/LqBAfs3RMx,66.74205811151491,67.31063772078977,66.66508971280207,67.22869873046875,78756800
2019-12-11,Tim Cook,I am so impressed with the high school students in Singapore’s Swift Accelerator Program. They’ve been busy learnin… https://t.co/ET4lLM4Usd,66.74205811151491,67.31063772078977,66.66508971280207,67.22869873046875,78756800
2019-12-11,Tim Cook,"If we can visualize a greener future, we can make it real. Wonderful to take part in @MeshMinds’ #TodayAtApple sess… https://t.co/9CSKcbsIER",66.74205811151491,67.31063772078977,66.66508971280207,67.22869873046875,78756800
2019-12-11,Tim Cook,Hello Singapore! Thanks to iPhone photographers Darren Soh (IG: darrensohphoto) and Aik Beng Chia (IG: aikbengchia)… https://t.co/QOyjHBtg3q,66.74205811151491,67.31063772078977,66.66508971280207,67.22869873046875,78756800
2019-12-11,Tim Cook,Every child deserves the opportunity to create something that can change the world. Proud to join @MichelleObama an… https://t.co/IzU5wIDqXB,66.74205811151491,67.31063772078977,66.66508971280207,67.22869873046875,78756800
2019-12-10,Tim Cook,The Universal Declaration of Human Rights is our common promise to uphold the inherent dignity of all. We all share… https://t.co/bjYpxqqYY7,66.68991897315368,67.05490132636088,66.0096071422519,66.66012573242189,90420400
2019-12-10,Tim Cook,"Our very first store outside of the US, Apple Ginza is always such a special place. Thanks for a wonderful visit! ま… https://t.co/q4JS4ngckD",66.68991897315368,67.05490132636088,66.0096071422519,66.66012573242189,90420400
2019-12-10,Tim Cook,Thanks to @mistwalker and the legendary Hironobu Sakaguchi san for the sneak peek of Fantasian. Games like this are… https://t.co/xZsKaaOHyY,66.68991897315368,67.05490132636088,66.0096071422519,66.66012573242189,90420400
2019-12-10,Tim Cook,TOHO Co. has been on the cutting edge of special effects for decades. Amazing to meet Shinji Higuchi san and learn… https://t.co/IHdiJ5ekW4,66.68991897315368,67.05490132636088,66.0096071422519,66.66012573242189,90420400
2019-12-10,Tim Cook,Seiko Advance is a great example of our invaluable suppliers here in Japan. Thanks to their craftsmanship and atten… https://t.co/1DLZDQifS9,66.68991897315368,67.05490132636088,66.0096071422519,66.66012573242189,90420400
2019-12-09,Tim Cook,Coding is one of the most important skills you can learn. Loved celebrating Computer Science Education Week with st… https://t.co/rPciCRMuSb,67.0375098540148,67.23613648199347,65.77372955898429,66.27278900146484,128042400
2019-12-09,Tim Cook,It’s always wonderful to be with our Apple family in Tokyo! みんな、いつもありがとう！ https://t.co/efpJ2M3jXa,67.0375098540148,67.23613648199347,65.77372955898429,66.27278900146484,128042400
2019-12-09,Tim Cook,Impressed with how @TimeTreeApp_jp helps millions of customers around the world manage their busy lives. Great to s… https://t.co/Sn7cUaewgq,67.0375098540148,67.23613648199347,65.77372955898429,66.27278900146484,128042400
